origin_code,sum
8a194ac0392ffff,823
8a194ac03937fff,0
8a194ac03947fff,5
8a194ac0394ffff,193
8a194ac03957fff,0
8a194ac0395ffff,0
8a194ac03967fff,0
8a194ac0396ffff,0
8a194ac03977fff,0
8a194ac03987fff,0
8a194ac0398ffff,53
8a194ac03997fff,0
8a194ac0399ffff,40
8a194ac039a7fff,0
8a194ac039affff,0
8a194ac039b7fff,121
8a194ac03a07fff,0
8a194ac03a0ffff,0
8a194ac03a17fff,0
8a194ac03a1ffff,0
8a194ac03a27fff,0
8a194ac03a2ffff,0
8a194ac03a37fff,0
8a194ac03a47fff,0
8a194ac03a4ffff,0
8a194ac03a57fff,0
8a194ac03a5ffff,0
8a194ac03a67fff,0
8a194ac03a6ffff,0
8a194ac03a77fff,0
